QA-ID,question,selected_model,answer,Completeness,Correctness,Fluency,Notes
QA-90,كيف يتم تقدير الضرر والتعويض الذي يصيب العامل جراء إنهاء عقده قبل نهاية مدته؟,deepseek,"{
    ""applicable"": true,
    ""issue"": ""تقدير الضرر والتعويض للعامل عند إنهاء عقده قبل نهاية مدته"",
    ""rules"": [""مادة 47: إذا كان عقد العمل محدد المدة وقام أحد طرفيه بإنهائه بغير حق التزم بتعويض الطرف الآخر عما أصابه من ضرر على ألا يجاوز مبلغ التعويض ما يساوى أجر العامل عن المدة المتبقية من العقد ويراعى فى تحديد الضرر بالنسبة إلى طرفيه العرف الجارى وطبيعة العمل ومدة العقد وبوجه عام كافة الأعتبارات التى تؤثر فى الضرر من حيث وجوده ومداه ، ويخصم من قيمة التعويض ما قد يكون مستحقا للطرف الآخر من ديون.""],
    ""analysis"": ""تنطبق المادة 47 فقط لأنها تتعلق تحديداً بتقدير الضرر والتعويض عند إنهاء عقد العمل محدد المدة بغير حق. تنص المادة على: 1) التزام الطرف الذي أنهى العقد بغير حق بتعويض الطرف الآخر عن الضرر. 2) الحد الأقصى للتعويض هو أجر العامل عن المدة المتبقية من العقد. 3) معايير تقدير الضرر تشمل: العرف الجاري، طبيعة العمل، مدة العقد، وجميع الاعتبارات المؤثرة في وجود الضرر ومداه. 4) يخصم من التعويض أي ديون مستحقة للطرف الآخر. المواد الأخرى (44، 43، 48، 52، 41، 51، 32) لا تنطبق لأنها تتناول مواضيع مختلفة مثل إنهاء العقود غير محددة المدة، وقف العمل بسبب اتهام، إنهاء العقد دون إخطار، مكافأة نهاية الخدمة، والفصل التأديبي، ولا تذكر قواعد تقدير الضرر والتعويض في سياق إنهاء العقد محدد المدة بغير حق."",
    ""final_answer"": ""يتم تقدير الضرر والتعويض للعامل عند إنهاء عقده محدد المدة قبل نهاية مدته بغير حق وفقاً للمادة 47، حيث يلتزم الطرف الذي أنهى العقد بتعويض العامل عن الضرر الذي أصابه، على ألا يتجاوز التعويض أجر العامل عن المدة المتبقية من العقد، مع مراعاة العرف الجاري وطبيعة العمل ومدة العقد وجميع الاعتبارات المؤثرة في وجود الضرر ومداه، ويخصم من التعويض أي ديون مستحقة للعامل."",
    ""referenced_articles"": [""47""]
}",5,5,4.0,
QA-25,متى تكون السيارة المقدمة للعامل أو بدل الانتقال أو بدل الاحتفال أو تذكرة السفر عنصرًا من عناصر الأجر وليس ميزة؟,llama,"{ 
""applicable"": true, 
""issue"": ""متى تكون السيارة المقدمة للعامل أو بدل الانتقال أو بدل الاحتفال أو تذكرة السفر عنصرًا من عناصر الأجر وليس ميزة؟"", 
""rules"": [ 
""Mادة 34: يلتزم صاحب العمل المتعاقد لتنفيذ مشروع حكومى أو يقوم باستخدام عماله فى المناطق البعيدة عن العمران بتوفير السكن المناسب للعمال وكذلك وسائل الانتقال للمناطق البعيدة عن العمران دون مقابل"", 
""Mادة 55: يقصد بالأجر ما يتقاضاه العامل من أجر أساسي أو ينبغي له أن يتقاضاه لقاء عمله وسببه مضافا إليه كافة العناصر المنصوص عليها في العقد أو لوائح صاحب العمل"" 
], 
""analysis"": ""تطبيق القواعد على الوقائع: وفقًا لمادة 34، يلتزم صاحب العمل بتوفير وسائل الانتقال للمناطق البعيدة عن العمران دون مقابل. وفقًا لمادة 55، يُعتبر الأجر ما يتقاضاه العامل من أجر أساسي أو ينبغي له أن يتقاضاه لقاء عمله وسببه مضافا إليه كافة العناصر المنصوص عليها في العقد أو لوائح صاحب العمل. من خلال تطبيق هذه القواعد، يمكن القول أن السيارة المقدمة للعامل أو بدل الانتقال أو بدل الاحتفال أو تذكرة السفر يُعتبر عنصرًا من عناصر الأجر وليس ميزة."", 
""final_answer"": ""يُعتبر السيارة المقدمة للعامل أو بدل الانتقال أو بدل الاحتفال أو تذكرة السفر عنصرًا من عناصر الأجر وليس ميزة."", 
""referenced_articles"": [ 
""34"", 
""55"" 
] 
}",2,2,2.0,
QA-82,"هل للعامل المصاب الحق في العلاج؟
* بأي مستشفيات يكون ذلك ومصاريف العلاج من يلتزم بها؟",deepseek,"{
    ""applicable"": true,
    ""issue"": ""حق العامل المصاب في العلاج، والمستشفيات المصرح بها، والجهة الملتزمة بمصاريف العلاج"",
    ""rules"": [""يجب على صاحب العمل تحمل نفقات علاج العامل المصاب من إصابات العمل وأمراض المهنة بأحد المستشفيات الحكومية أو دور العلاج الأهلية التي يحددها، بما في ذلك قيمة الأدوية ومصروفات الانتقال (مادة 90)."", ""يحدد الطبيب المعالج في تقريره فترة العلاج (مادة 90)."", ""مع عدم الإخلال بأحكام القانون رقم (1) لسنة 1999 في شأن التأمين الصحي على الأجانب وفرض رسوم مقابل الخدمات الصحية (مادة 90).""],
    ""analysis"": ""تنص المادة 90 صراحةً على التزام صاحب العمل بتحمل نفقات علاج العامل المصاب من إصابات العمل أو أمراض المهنة. ويشمل ذلك العلاج في المستشفيات الحكومية أو دور العلاج الأهلية التي يحددها صاحب العمل، بالإضافة إلى تكاليف الأدوية ومصروفات الانتقال. كما تحدد المادة دور الطبيب المعالج في تحديد فترة العلاج عبر تقرير طبي. وتستثني المادة حالة الخضوع لأحكام قانون التأمين الصحي على الأجانب (القانون رقم 1 لسنة 1999)."",
    ""final_answer"": ""نعم، للعامل المصاب بإصابة عمل أو مرض مهني الحق في العلاج. يكون العلاج في أحد المستشفيات الحكومية أو دور العلاج الأهلية التي يحددها صاحب العمل. يلتزم صاحب العمل بتحمل كافة نفقات العلاج، بما في ذلك قيمة الأدوية ومصروفات الانتقال، وذلك بموجب المادة 90 من قانون العمل الكويتي، مع مراعاة أحكام قانون التأمين الصحي على الأجانب حيثما تنطبق."",
    ""referenced_articles"": [""90""]
}",3,4,5.0,"نص المادة صحيح لكن الرقم 91 وليس 90 
"
QA-95,"متى يستحق العامل إجازة سنوية وما مدتها؟
هل مدفوعة الأجر؟",qwen,"{
""applicable"": true,
""issue"": ""متى يستحق العامل إجازة سنوية وما مدتها؟ وهل هي مدفوعة الأجر؟"",
""rules"": [""مادة 70: للعامل الحق في إجازة سنوية لا تقل عن ثلاثين يوم عمل مدفوعة الأجر، على أن يستحق العامل إجازة عن السنة الأولى بعد قضائه ستة أشهر على الأقل في خدمة صاحب العمل. ولا تحسب ضمن الإجازة السنوية أيام العطل الأسبوعية والعطل الرسمية وأيام الإجازات المرضية الواقعة خلالها ويستحق العامل إجازة عن كسور السنة بنسبة ما قضاه منها في العمل ولو كانت السنة الأولى من الخدمة.""],
""analysis"": ""تنص المادة 70 صراحةً على أن العامل يستحق الإجازة السنوية بعد مرور ستة أشهر على الأقل في خدمة صاحب العمل (وليس تسعة أشهر كما كان ساريًا قبل التعديل)، وأن مدة الإجازة لا تقل عن ثلاثين يوم عمل، وهي مدفوعة الأجر بالكامل، مع استثناء أيام العطل الأسبوعية والعطل الرسمية والإجازات المرضية الواقعة خلال فترة الإجازة من حساب الأيام الثلاثين. كما ينص النص على استحقاق العامل إجازة عن كسور السنة بنسبة ما قضاه منها في العمل، حتى لو كانت السنة الأولى من الخدمة."",
""final_answer"": ""يستحق العامل الإجازة السنوية بعد قضائه ستة أشهر على الأقل في خدمة صاحب العمل، ومدتها لا تقل عن ثلاثين يوم عمل، وهي مدفوعة الأجر بالكامل."",
""referenced_articles"": [""مادة 70""]
}",5,5,4.0,
QA-46,"ما الشروط الواجبة على صاحب العمل في تشغيل الحدث
أو الطفل؟",qwen,"{
""applicable"": true,
""issue"": ""الشروط الواجبة على صاحب العمل في تشغيل الحدث (من بلغ الخامسة عشرة ولم يبلغ الثامنة عشرة)"",
""rules"": [""أ – أن يكون تشغيلهم فى غير الصناعات والمهن الخطرة أو المضرة بالصحة التى يصدر بها قرار من الوزير."", ""ب – توقيع الكشف الطبي عليهم قبل إلحاقهم بالعمل وبعد ذلك فى فترات دورية لا تجاوز ستة أشهر، ويصدر الوزير قرارا بتحديد هذه الصناعات والمهن والإجراءات والمواعيد المنظمة للكشف الطبي الدوري.""],
""analysis"": ""تنص المادة 20 صراحةً على الشروط الواجب توافرها لتشغيل الأحداث ممن بلغوا الخامسة عشرة ولم يبلغوا الثامنة عشرة، وهي شرطان اثنان فقط: أولهما يتعلق بعدم تشغيلهم في الصناعات والمهن الخطرة أو المضرة بالصحة، وثانيهما يتعلّق بإخضاعهم للكشف الطبي قبل التشغيل وللكشف الدوري كل ستة أشهر كحد أقصى. ولا توجد أي شروط أخرى في المواد المقدمة تتعلق بتشغيل الحدث، وبالتالي لا يجوز الاستناد إلى مواد أخرى غير واردة."",
""final_answer"": ""يجب على صاحب العمل ألا يشغل الحدث في الصناعات أو المهن الخطرة أو المضرة بالصحة، وأن يخضعه للكشف الطبي قبل إلحاقه بالعمل وللكشف الدوري كل ستة أشهر كحد أقصى."",
""referenced_articles"": [""مادة 20""]
}",4,2,4.0,
QA-109,كيف يتم احتساب مكافأة نهاية الخدمة للعامل؟,gpt4o,"{
""applicable"": true,
""issue"": ""كيفية احتساب مكافأة نهاية الخدمة للعامل."",
""rules"": [
  ""مادة 51: يحدد كيفية احتساب مكافأة نهاية الخدمة بناءً على نوع الأجر (يومي، أسبوعي، شهري) وعدد سنوات الخدمة."",
  ""مادة 52: يحدد الحالات التي يستحق فيها العامل مكافأة نهاية الخدمة كاملة."",
  ""مادة 53: يحدد نسبة مكافأة نهاية الخدمة إذا أنهى العامل العقد غير محدد المدة من جانبه."",
  ""مادة 62: يحدد كيفية حساب مستحقات العامل بناءً على آخر أجر تقاضاه.""
],
""analysis"": ""وفقًا للمادة 51، يتم احتساب مكافأة نهاية الخدمة بناءً على نوع الأجر وعدد سنوات الخدمة. إذا كان الأجر شهريًا، يستحق العامل أجر خمسة عشر يومًا عن كل سنة من السنوات الخمس الأولى وأجر شهر عن كل سنة من السنوات التالية، بشرط ألا تزيد المكافأة عن أجر سنة ونصف. أما إذا كان الأجر يوميًا أو أسبوعيًا أو بالساعة أو بالقطعة، فيستحق العامل أجر عشرة أيام عن كل سنة من السنوات الخمس الأولى وخمسة عشر يومًا عن كل سنة من السنوات التالية، بشرط ألا تزيد المكافأة عن أجر سنة. المادة 52 تحدد الحالات التي يستحق فيها العامل المكافأة كاملة، مثل انتهاء العقد من جانب صاحب العمل أو انتهاء مدة العقد المحدد. المادة 53 تحدد نسبة المكافأة إذا أنهى العامل العقد غير محدد المدة من جانبه، حيث يستحق نصف المكافأة إذا كانت مدة الخدمة لا تقل عن ثلاث سنوات ولم تبلغ خمس سنوات، وثلثي المكافأة إذا بلغت مدة الخدمة خمس سنوات ولم تبلغ عشر سنوات، والمكافأة كاملة إذا بلغت مدة الخدمة عشر سنوات. المادة 62 توضح أن حساب المستحقات يتم بناءً على آخر أجر تقاضاه العامل."",
""final_answer"": ""يتم احتساب مكافأة نهاية الخدمة بناءً على نوع الأجر (شهري، يومي، أسبوعي، بالساعة، أو بالقطعة) وعدد سنوات الخدمة. يستحق العامل مكافأة كاملة في حالات معينة مثل انتهاء العقد من جانب صاحب العمل. إذا أنهى العامل العقد غير محدد المدة من جانبه، يستحق نسبة من المكافأة بناءً على مدة الخدمة. يتم حساب المستحقات بناءً على آخر أجر تقاضاه العامل."",
""referenced_articles"": [
  ""51"",
  ""52"",
  ""53"",
  ""62""
]
}",3,4,3.0,
QA-26,ماذا يقصد بالمكافأة التشجيعية التي يمنحها صاحب العمل للعامل؟,deepseek,"{
    ""applicable"": false,
    ""issue"": """",
    ""rules"": [],
    ""analysis"": """",
    ""final_answer"": """",
    ""referenced_articles"": []
}",1,1,1.0,
QA-10,اعمل لدى شركة بعقد عمل محدد المدة بمدة سنة ولكن لي الان سنتين و8 اشهر اعمل لديهم، فهل يعتبر عقدي الان أيضا محدد المدة؟ وفي هذه الحالة متى ينتهي؟,gpt4o,"{
""applicable"": true,
""issue"": ""تحديد ما إذا كان عقد العمل المحدد المدة قد تم تجديده تلقائيًا وما هي مدته الحالية."",
""rules"": [
  ""مادة 31: إذا كان عقد العمل محدد المدة واستمر الطرفان فى تنفيذه بعد انقضاء مدته دون تجديد اعتبر مجددا لمدد ماثلة وبالشروط الواردة فيه ما لم يتفق الطرفان على تجديده بشروط أخرى.""
],
""analysis"": ""بما أن عقد العمل كان محدد المدة لمدة سنة واحدة واستمر الطرفان في تنفيذه بعد انقضاء مدته دون تجديد رسمي، فإنه يعتبر مجددًا تلقائيًا لمدة مماثلة وفقًا للمادة 31. وبالتالي، بعد مرور سنتين و8 أشهر، يكون العقد قد تم تجديده مرتين لمدة سنة واحدة لكل مرة، والآن هو في السنة الثالثة من التجديد."",
""final_answer"": ""عقد العمل الخاص بك يعتبر الآن محدد المدة وتم تجديده تلقائيًا لمدة سنة واحدة بعد انتهاء كل فترة. بناءً على ذلك، سينتهي العقد الحالي بعد مرور ثلاث سنوات من بدء العمل، أي بعد أربعة أشهر من الآن."",
""referenced_articles"": [
  ""31""
]
}",5,5,5.0,
QA-120,من له حق الانتساب في النقابة أو الاتحادات؟,qwen,"{
""applicable"": true,
""issue"": ""تحديد الجهة أو الفئة التي لها حق الانتساب في النقابة أو الاتحادات وفق قانون العمل الكويتي"",
""rules"": [""مادة 98: لجميع العمال الكويتيين الحق في أن يكونوا في ما بينهم نقابات ترعى مصالحهم و تعمل على تحسن حالتهم المادية و الاجتماعية و تمثلهم في جميع الأمور الخاصة بهم , و لأصحاب الأعمال حق تكوين اتحادات لهم لذات الأهداف."", ""مادة 97: حق تكوين اتحادات لأصحاب الأعمال ، وحق التنظيم النقابي للعمال مكفول وفقا لأحكام هذا القانون، وتسري أحكام هذا الباب علي العاملين في القطاع الأهلي وتطبق أحكامه علي العاملين في القطاعين الحكومي والنفطى فيما لا يتعارض مع القوانين التي تنظم شئونهم."", ""مادة 105: للنقابات المشهرة وفقا لأحكام هذا الباب أن تكون فيما بينها اتحادات ترعى مصالحها المشتركة وللاتحادات المشهرة وفقا لأحكام هذا القانون أن تكون فيما بينها اتحادا عاما علي ألا يكون هناك أكثر من اتحاد عام واحد لكل من العمال وأصحاب العمل ، وينبع في تكوين الاتحادات والاتحاد العام ذات الإجراءات الخاصة بتكوين النقابات.""],
""analysis"": ""تنص المادة (98) صراحةً على أن 'جميع العمال الكويتيين' لهم الحق في تكوين نقابات فيما بينهم، كما تمنح أصحاب الأعمال حق تكوين اتحادات لهم. والمادة (97) تؤكد كفالة حق التنظيم النقابي للعمال وحق تكوين اتحادات لأصحاب الأعمال، وتوضح أن أحكام الباب تسري على العاملين في القطاع الأهلي، وتطبق على العاملين في القطاعين الحكومي والنفطي بشروط عدم التعارض مع قوانينهم الخاصة. أما المادة (105) فتنظم انتساب النقابات إلى اتحادات، والاتحادات إلى اتحاد عام، لكنها لا تحدد من ينتسب بل تفترض وجود نقابات واتحادات مشهرة سابقاً، وبالتالي لا تُعدّ مصدرًا مباشرًا لتحديد حق الانتساب الفردي. وبذلك فإن النصوص المحددة لمن له حق الانتساب هي المواد (97) و(98) فقط، وهما تخصصان الحق للعمال الكويتيين في الانضمام إلى النقابات، ولأصحاب الأعمال في الانضمام إلى اتحادات، دون إشارة إلى عمال غير كويتيين أو جهات أخرى."",
""final_answer"": ""لجميع العمال الكويتيين حق الانتساب إلى النقابات، ولأصحاب الأعمال حق الانتساب إلى اتحادات أصحاب الأعمال."",
""referenced_articles"": [""97"", ""98""]
}",5,4,5.0,نصوص المواد صحيحة لكن الارقام 99 وليس 98، 98 وليس 97، 106 وليس 105
QA-34,ما الشروط التي أوجبها القانون على صاحب العمل عند تكليف (تشغيل) العاملين لديه بعمل إضافي؟,llama,"{
""applicable"": true,
""issue"": ""شروط تشغيل العاملين بعمل إضافي"",
""rules"": [
""Mادة 66: يجب أن يكون تشغيل العاملين بعمل إضافي لازما لمنع وقوع حادث خطر أو لإصلاح ما نشأ عنه أو تفادى خسارة محققة أو مواجهة أعمال تزيد علي القدر اليومي."",
""Mادة 66: لا يجوز أن تزيد ساعات العمل الإضافي علي ساعتين في اليوم الواحد وبحد أقصي مئة وثمانين ساعة سنويا."",
""Mادة 66: لا يجوز أن تزيد فترات العمل الإضافي علي ثلاث أيام أسبوعيا وتسعين يوما في السنة."",
""Mادة 66: يجب أن يراعي صاحب العمل في الأجر عن فترة العمل الإضافي ما تقضي به المادة 56 من هذا القانون."",
""Mادة 66: يجب أن يمسك صاحب العمل سجلا خاصا للعمل الإضافي.""
]
}",4,4,3.0,
QA-123,"172/ ما المقصود بعقد العمل الجماعي؟
173/ ما خصائصه؟",llama,"{
""applicable"": true,
""issue"": ""تعريف عقد العمل الجماعي"",
""rules"": [
{
""article"": ""مادة 110"",
""text"": ""عقد العمل الجماعي هو العقد الذي ينظم شروط العمل وظروفه بين نقابة أو اتحاد عمال أو أكثر وبين صاحب عمل أو أ كثر أو من يمثلهم من اتحادات أصحاب الأعمال.""
}
],
""analysis"": ""عقد العمل الجماعي هو عقد ينظم شروط العمل وظروفه بين نقابة أو اتحاد عمال وبين صاحب العمل."",
""final_answer"": ""عقد العمل الجماعي هو عقد ينظم شروط العمل وظروفه بين نقابة أو اتحاد عمال وبين صاحب العمل."",
""referenced_articles"": [
""مادة 110""
]
}",1,2,2.0,
QA-35,هل يحق لصاحب العمل إجبار العامل بتشغيله ساعات عمل إضافية؟,qwen,"{
""applicable"": true,
""issue"": ""حق صاحب العمل في إجبار العامل على تشغيله ساعات عمل إضافية"",
""rules"": [""مادة 66: تنص على جواز تشغيل العامل فترة إضافية بأمر كتابي من صاحب العمل إذا كان ذلك لازما لمنع وقوع حادث خطر أو لإصلاح ما نشأ عنه أو تفادى خسارة محققة أو مواجهة أعمال تزيد على القدر اليومي، مع تحديد حدود قصوى لساعات العمل الإضافي (ساعتين يومياً، ١٨٠ ساعة سنوياً، ٣ أيام أسبوعياً، ٩٠ يوماً في السنة)، وتلزم صاحب العمل بدفع أجر إضافي بنسبة ٢٥٪ عن الأجر العادي، ومسك سجل خاص للعمل الإضافي."", ""مادة 64: تحدد الحد الأقصى لساعات العمل بـ ٤٨ ساعة أسبوعياً أو ٨ ساعات يومياً، باستثناء الحالات المنصوص عليها في القانون، مما يدل على أن العمل الإضافي استثناء مقيد بشروط."", ""مادة 21: تحظر تشغيل الإحداث ساعات عمل إضافية، مما يؤكد أن التشغيل الإضافي ليس حقاً مطلقاً بل مقيد بالفئة والظروف.""],
""analysis"": ""تنص المادة 66 صراحة على جواز تشغيل العامل فترة إضافية «بأمر كتابي من صاحب العمل»، لكن هذا الجواز مشروط بوجود سبب مشروع (مثل منع حادث خطر أو تفادي خسارة محققة) وليس مطلقاً، كما أن الحدود الزمنية المفروضة (ساعتين يومياً، ٣ أيام أسبوعياً، إلخ) تُظهر أن التشغيل الإضافي لا يُعتبر إجباراً تعسفياً بل خاضع لضوابط دقيقة. كما أن المادة 64 تؤكد أن العمل أكثر من ٤٨ ساعة أسبوعياً أو ٨ ساعات يومياً غير جائز «إلا في الحالات المنصوص عليها في هذا القانون»، والمادة 66 هي إحدى هذه الحالات الاستثنائية. وبالتالي، لا يحق لصاحب العمل «إجبار» العامل بشكل مطلق، بل يحق له تكليفه بالعمل الإضافي فقط ضمن الشروط والأسباب والحدود التي حددتها المادة 66، مع التزامه بدفع الأجر الإضافي ومسك السجل. أي أن الحق مقيّد، وليس إجباراً مطلقاً."",
""final_answer"": ""لا يحق لصاحب العمل إجبار العامل على ساعات عمل إضافية بشكل مطلق، بل يجوز له تكليفه بها فقط في الحالات الاستثنائية المبينة في المادة 66 وبشرط توفر السبب المشروع، وعدم تجاوز الحدود الزمنية المقررة، مع التزامه بدفع الأجر الإضافي بنسبة ٢٥٪ ومسك السجل الخاص."",
""referenced_articles"": [""66"", ""64"", ""21""]
}",4,4,4.0,عجبني ان كيف انه استخرج المواد المحال لها من المادة 66 (وهي المواد 21 و64 واستردها بشكل صحيح. لكن التحليل والنتيجة النهائية كان يفضل ان تكون اشمل وادق (يذكر بعض القيود في مادة 21 و64 مثل ساعات العمل في رمضان و عدم تشغيل الاحداث) 
QA-106,"هل يحق للمرأة طلب إجازة من دون أجر لرعاية الطفولة؟
ما هي مدة هذه الإجازة؟",deepseek,"{
    ""applicable"": true,
    ""issue"": ""حق المرأة العاملة في طلب إجازة من دون أجر لرعاية الطفولة ومدتها"",
    ""rules"": [""مادة 24: يجوز لصاحب العمل عقب انتهاء أجازة الوضع منح المرأة العاملة بناء على طلبها أجازة من دون أجر لا تزيد مدتها على أربعة أشهر لرعاية الطفولة.""],
    ""analysis"": ""تنص المادة 24 صراحةً على أنه يجوز لصاحب العمل منح المرأة العاملة إجازة من دون أجر لرعاية الطفولة بناءً على طلبها، وذلك بعد انتهاء أجازة الوضع. تحدد المادة الحد الأقصى لمدة هذه الإجازة بأربعة أشهر."",
    ""final_answer"": ""نعم، يحق للمرأة العاملة طلب إجازة من دون أجر لرعاية الطفولة بعد انتهاء أجازة الوضع. الحد الأقصى لمدة هذه الإجازة هو أربعة أشهر."",
    ""referenced_articles"": [""24""]
}",5,5,4.0,
QA-06,كنت أعمل لدى شركة وعند انتهاء عملي طالبتها بإرجاع جواز السفر لكنها رفضت. فعلى أي سند قانوني يمكنني مطالبتها بإرجاع جواز السفر؟,llama,"{
""applicable"": false,
""issue"": ""مطالبة بإرجاع جواز السفر"",
""rules"": [],
""analysis"": """",
""final_answer"": """",
""referenced_articles"": []
}",1,1,1.0,
QA-73,"ماذا يقصد بالمنحة التي تعطى للعامل؟
* هل تدخل من ضمن ملحقات الأجر؟",llama,"{
""applicable"": true,
""issue"": ""ما يقصد بالمنحة التي تعطى للعامل؟"",
""rules"": [
""Matter 78: يجوز لصاحب العمل منح العامل، بناء علي طلبه أجازة خاصة من دون أجر خلاف الأجازات المشار إليها في هذا الفصل."",
""Matter 62: يراعي في حساب مستحقات العامل آخر أجر تقاضاه فإذا كان العامل ممن يتقاضون أجورهم بالقطعة تحدد أجره بمتوسط ما تقاضاه خلال أيام العمل الفعلية في الأشهر الثلاثة الأخيرة ويكون تقدير المزايا النقدية والعينية بتقسيم متوسط ما تقاضاه العامل منها خلال الأثني عشر شهر الأخيرة علي الاستحقاق فإذا قلت مدة خدمته عن سنة حسب المتوسط علي نسبة ما أمضاه منها في الخدمة ولا يجوز تخفيض أجر العامل خلال مدة عمله لأي سبب من الأسباب."",
""Matter 55: يقصد بالأجر ما يتقاضاه العامل من أجر أساسي أو ينبغي له أن يتقاضاه لقاء عمله وسببه مضافا إليه كافة العناصر المنصوص عليها في العقد أو لوائح صاحب العمل.""
],
""analysis"": ""من خلال مواد القانون، يمكننا أن نستنتج أن المنحة التي تعطى للعامل هي المزايا النقدية والعينية التي يتقاضاها العامل، والتي تشمل المكافآت والبدلات والمنح والهبات والمزايا النقدية الأخرى."",
""final_answer"": ""نعم، تدخل المنحة من ضمن ملحقات الأجر."",
""referenced_articles"": [
""Matter 78"",
""Matter 62"",
""Matter 55""
]
}",3,2,2.0,
QA-119,هل يسمح قانون العمل لأصحاب الأعمال تكوين اتحادات لهم؟هل يحق كذلك للعمال بأن يكونوا نقابات لهم؟,deepseek,"{
    ""applicable"": true,
    ""issue"": ""حق تكوين اتحادات لأصحاب الأعمال وحق التنظيم النقابي للعمال في قانون العمل الكويتي"",
    ""rules"": [""مادة 97: حق تكوين اتحادات لأصحاب الأعمال، وحق التنظيم النقابي للعمال مكفول وفقا لأحكام هذا القانون، وتسري أحكام هذا الباب علي العاملين في القطاع الأهلي وتطبق أحكامه علي العاملين في القطاعين الحكومي والنفطى فيما لا يتعارض مع القوانين التي تنظم شئونهم."", ""مادة 98: لجميع العمال الكويتيين الحق في أن يكونوا في ما بينهم نقابات ترعى مصالحهم و تعمل على تحسن حالتهم المادية و الاجتماعية و تمثلهم في جميع الأمور الخاصة بهم، و لأصحاب الأعمال حق تكوين اتحادات لهم لذات الأهداف.""],
    ""analysis"": ""تنص المادة 97 صراحة على أن حق تكوين اتحادات لأصحاب الأعمال وحق التنظيم النقابي للعمال مكفول وفقاً لأحكام القانون. وتؤكد المادة 98 هذا الحق بشكل تفصيلي حيث تنص على أن لجميع العمال الكويتيين الحق في تكوين نقابات ترعى مصالحهم، ولأصحاب الأعمال حق تكوين اتحادات لهم لذات الأهداف."",
    ""final_answer"": ""نعم، يسمح قانون العمل الكويتي لأصحاب الأعمال بتكوين اتحادات لهم، كما يحق للعمال الكويتيين تكوين نقابات لهم."",
    ""referenced_articles"": [""97"", ""98""]
}",5,4,5.0,نصوص المواد صحيحة لكن ارقام المواد على التوالي هي 98 و99 وليس 97 و98
QA-116,ما العقوبات التي تقع على صاحب العمل الذي لا يقوم بإخطار الهيئة العامة للقوى العاملة باحتياجاته من العمالة؟,gpt4o,"{
""applicable"": false,
""issue"": """",
""rules"": [],
""analysis"": """",
""final_answer"": """",
""referenced_articles"": []
}",1,1,1.0,
QA-96,"من له الحق في تحديد موعد إجازة العامل؟
هل أيام الجُمع والإجازات الرسمية تخصم من مدة الإجازة؟",gpt4o,"{
    ""applicable"": true,
    ""issue"": ""تحديد من له الحق في تحديد موعد إجازة العامل وما إذا كانت أيام الجمع والإجازات الرسمية تخصم من مدة الإجازة."",
    ""rules"": [
        ""مادة 71: لصاحب العمل حق تحديد موعد الأجازة السنوية كما يجوز له تجزئتها برضاء العامل بعد الأربعة عشر يوما الأولى منها."",
        ""مادة 70: لا تحسب ضمن الإجازة السنوية أيام العطل الأسبوعية والعطل الرسمية وأيام الإجازات المرضية الواقعة خلالها.""
    ],
    ""analysis"": ""وفقًا للمادة 71، لصاحب العمل الحق في تحديد موعد الإجازة السنوية، ويمكنه تجزئتها بشرط موافقة العامل بعد الأربعة عشر يومًا الأولى. أما بالنسبة لأيام الجمع والإجازات الرسمية، فإن المادة 70 تنص على أنها لا تُحسب ضمن مدة الإجازة السنوية."",
    ""final_answer"": ""صاحب العمل هو الذي يحدد موعد الإجازة السنوية، ولا تُخصم أيام الجمع والإجازات الرسمية من مدة الإجازة."",
    ""referenced_articles"": [
        ""71"",
        ""70""
    ]
}",5,3,3.0,"نصوص المواد صحيحة لكن ارقام المواد على التوالي هي 72 و71 وليس 71 و70
مما اثر في الصحة استخدام لفظ (لاتخصم ) ايام الجمع.. في الجواب النهائي وهو لفظ مناقض للتحليل الذي يسبقه وهي انها (لا تحسب) ايام الجمع.."
