No.,Question,Answer,Category
44,"س 62/ هل هناك حالات لفصل العامل دون الحصول على مكافأة نهاية خدمة أو تعويض؟
 س 63/ ما هذه الحالات؟","ج/ منح قانون العمل صاحب العمل أن يفصل العامل دون إخطار أو تعويض أو مكافأة إذا ارتكب العامل أحد الأفعال الآتية:
 ​إذا ارتكب العامل خطأ نتجت عنه خسارة جسيمة لصاحب العمل.
 ​إذا ثبت أن العامل قد حصل على العمل نتيجة غش أو تدليس.
 ​إذا أفشى العامل الأسرار الخاصة بالمنشأة مما تسبب أو كان من شأنه أن يتسبب بخسارة محققة له.",عقد العمل
45,س 64/ ما الحالات التي لا يترتب على قرار الفصل حرمان العامل من مكافأة نهاية الخدمة؟,"ج/ الحالات التي لا يترتب على قرار الفصل حرمان العامل من مكافأة نهاية الخدمة هي:
 ​إذا حُكم عليه نهائياً بجريمة ماسة بالشرف أو الأمانة أو الأخلاق.
 ​إذا ارتكب عملاً مخلاً بالآداب العامة في مكان العمل.
 ​إذا وقع منه اعتداء على أحد زملائه أو على صاحب العمل أو من ينوب عنه أثناء العمل أو بسببه.
 ​إذا أخل أو قصّر في أي من الالتزامات المفروضة عليه بنصوص العقد وأحكام هذا القانون.
 ​إذا ثبتت مخالفته المتكررة لتعليمات صاحب العمل",عقد العمل
46,س 65/ هل صاحب العمل ملزم بإبلاغ (الوزارة) (الهيئة العامة للقوى العاملة) بقرار فصل العامل وأسبابه؟,ج/ يجب على صاحب العمل أن يبلغ الوزارة (الهيئة العامة للقوى العاملة) بقرار فصل العامل وأسبابه، وتقوم بدورها إبلاغ جهاز إعادة هيكلة القوى العاملة.,عقد العمل
47,س 66/ هل يحق للعامل المفصول من العمل الطعن في قرار الفصل؟,ج/ للعامل المفصول حق الطعن في قرار الفصل أمام الدائرة العمالية المختصة إذا ثبت بموجب حكم نهائي أن صاحب العمل قد تعسف في فصله استحق العامل مكافأة نهاية الخدمة مع التعويض عما لحقه من أضرار مادية وأدبية.,عقد العمل
48,"​س 67/ هل تُعد المنافسة غير المشروعة التي يرتكبها العامل سر من أسرار العمل؟
 س 68/ هل مبرر لصاحب العمل فصل العامل؟",,عقد العمل
49,س 69/ ما التزامات العامل تجاه صاحب العمل؟,ج/ التزامات العامل كثيرة منها أداء العمل بنفسه أو يعهد إلى غيره القيام به بدلاً عنه ويجب عليه إطاعة أوامر صاحب العمل وتعليماته ذات الصلة بالعمل المتفق عليه، وأن يحترم لائحة العمل وعدم مخالفتها كما يلتزم بإطاعة أوامر وكلاء صاحب العمل وممثليه وإطاعة صاحب العمل واجبة على العامل طالما كانت في حدود قانون العمل حيث إن صاحب العمل له سلطة واسعة في تنظيم منشأته واتخاذ ما يراه من الوسائل لإعادة تنظيمها وإدارتها – وفي حالة رفض العامل تعليماته وأوامره يوقع الجزاء التأديبي عليه.,التزامات العامل وصاحب العمل
50,س 70/ ما سلطات صاحب العمل على العامل؟,ج/ سلطات صاحب العمل على العامل متعددة منها سلطة صاحب العمل في فصل العامل إذا حكم عليه في جريمة ماسة بالشرف أو الأمانة أو الأخلاق وفصل العامل دون إعلان أو مكافأة إذا أخل أو قصر في أي من التزاماته المفروضة عليه في بنود العقد وأحكام القانون وأيضاً لصاحب العمل الحق في تنظيم منشأته وتنظيم العمل بها وتقييم الوظائف وتصنيفها وتقدير كفاية العامل، وله كذلك سلطة لما يراه كفيلاً بتحقيق مصلحة العمل. ولصاحب العمل حق في تشغيل العامل ساعات إضافية وفي أيام الراحة الأسبوعية، ولكن كل هذه السلطات وتقدير مبرراتها من سلطة محكمة الموضوع (أي قاضي الموضوع) فلا يحق لصاحب العمل استخدام سلطته أو ممارستها دون قصد في الإساءة لعماله، وأن تكون مصلحة العمل اقتضت ذلك، وكما قلنا فإن تقدير هذا الإخلال من سلطة (قاضي) محكمة الموضوع.,التزامات العامل وصاحب العمل
51,س 71/ هل يحق لصاحب العمل تكليف العامل بعمل لا يتفق مع طبيعة العمل المبينة في العقد؟,ج/ لا يجوز لصاحب العمل تكليف العامل بعمل لا يتفق مع طبيعة العمل المبينة في العقد أو لا يتناسب مع مؤهلات العامل وخبراته، التي تم التعاقد معه على أساسها.,التزامات العامل وصاحب العمل
52,س 72/ هل من حق صاحب العمل تكليف العامل بعمل آخر غير متفق عليه؟,ج/ يجوز لصاحب العمل تكليف العامل بأداء عمل آخر غير المتفق عليه إذا تطلبت مصلحة العمل إحداث تغييرات وتعديلات في ظروف العمل فلا يجوز للعامل التمسك بمكان معين إذ وظيفة معينة بشرط لا يختلف عن العمل الأصلي اختلافاً جوهرياً أو ينقله إلى مركز أقل ميزة أو ملاءمة من المركز الذي كان يشغله... طالما لم يقصد صاحب العمل الإساءة إلى العامل.,التزامات العامل وصاحب العمل
53,س 73/ هل يحق لصاحب العمل أن يوقع جزاءً تأديبياً على العامل دون علمه؟,ج/ لا يجوز لصاحب العمل أن يوقع جزاءً تأديبياً على العامل دون إبلاغه كتابة بما هو منسوب إليه من مخالفات، وسماع أقواله وتحقيق دفاعه، وإثبات ذلك في محضر يودع في ملفه الخاص، ويجب إبلاغ العامل كتابة بما وقع عليه من جزاءات ونوعها ومقدارها وأسباب توقيعها والعقوبة التي قد يتعرض لها في حالة العود (تكرار المخالفة).,التزامات العامل وصاحب العمل
54,س 74/ ما العقوبة التي يمكن لصاحب العمل توقيعها على العامل عن المخالفة الواحدة؟,ج/ لا يجوز لصاحب العمل بتوقيع عقوبة الخصم على العامل أكثر من أجر خمسة أيام بالشهر الواحد، فإذا تجاوزت العقوبة ذلك يخصم القدر الزائد من أجر الشهر القادم أو الشهر التالي.,التزامات العامل وصاحب العمل
55,"س 75/ ما مقدار الخصم (الاستقطاع) من الأجر الذي يوقع على العامل؟
  * س 76/ شروطه؟",ج/ لا يجوز خصم ما قيمته أكثر من 5 أيام من أجر العامل شهرياً... وشروطه: إذا تجاوزت قيمة العقوبة ما يعادل 5 أيام ترحل الخصم إلى الشهر المقبل أو الأشهر التالية. ولا يجوز لصاحب العمل استقطاع أكثر من 10% من الراتب الشهري في حالة ديون على العامل أو قروض مستحقة لصاحب العمل، ولا يجوز كذلك تحصيل أي فوائد على هذه القروض أو الديون الممنوحة للعامل. وفي كل الأحوال لا يجوز الحجز على أكثر من 25% من راتب العامل إلا لدين أو نفقة أو ديون أخرى على العامل مطالب بها، وتم الحجز على الراتب بسببها.,التزامات العامل وصاحب العمل
56,س 77/ هل يجوز تحديد أجر العامل بمقدار حصته من الأرباح؟,ج/ يجوز تحديد أجر العامل على أساس نسبة من إيرادات المنشأة أو حصة من الأرباح التي تحققها وحصة الأرباح لا تستحق إلا إذا حققت المنشأة ربحاً، وحق العامل مرتبط بما يتحقق من أرباح، ولكن قانون العمل ألزم صاحب العمل إذا لم تحقق المنشأة ربحاً أو حققت ربحاً ضئيلاً جداً بحيث لا تتناسب مع حصة العامل يجب تقدير أجره على أساس أجر المثل أو وفقاً لعرف المهنة أو لمقتضيات العدالة... ومشاركة العامل في نسبة من الربح لا تجعله شريكاً مع صاحب العمل حيث لا يتوافر لدى العامل نية المشاركة أو تحمل خسائر المشروع.,التزامات العامل وصاحب العمل
57,"س 78/ ماذا يقصد بالمنحة التي تعطى للعامل؟
  * س 79/ هل تدخل من ضمن ملحقات الأجر؟",ج/ يقصد بالمنحة: مبلغ من المال يعطى للعامل من قبل صاحب العمل في مناسبات معينة مثل (الأعياد والعطلات الرسمية) والأصل في المنحة أنها تعتبر تبرعاً من صاحب العمل والمنحة (البونص) يجب أن يكون صرفها لجميع عمال صاحب العمل أو لجميع أفراد طائفة منهم، وأن يتم صرف المنحة بصفة دورية لمدة كافية طبقاً لشروطها الموضوعية، وأن تكون قيمة المنحة ثابتة بمبلغ ثابت سنوياً، وهذه المنحة تدخل من ضمن الأجر ولا يجوز لصاحب العمل حرمان العامل منها أو الانتقاص من قيمتها ويجب احتساب المنحة مع الأجر الأصلي.,التزامات العامل وصاحب العمل
58,س 80/ هل الهبات التي يحصل عليها العمال تدخل في حساب الأجر الذي يتقاضونه؟,ج/ من المتفق عليه أن الهبات هي التي يدفعها عملاء المحل (الزبائن) (وليس صاحب العمل) مكافأة للعمال على حسن قيامهم بالخدمة (البقشيش) وجرى العرف في بعض المهن أصبح دفع الهبة (البقشيش) التزاماً قانونياً... والهبات تشمل كل مبلغ يعطى في مقابل الخدمة في أي مجال طالما جرت عادة العملاء على دفعه، وأن يكون دفع العميل نظير ذات العمل الذي قام به العامل بموجب عقد العمل لا نظير خدمة شخصية خاصة قدمها له، ويشترط بالهبة لدخولها في حساب الأجر أن تصرف للعامل بصفة دورية ومأخوذة في الحساب عند تحديد أجر العامل، وتضاف إلى الأجر الأساسي للعامل.,التزامات العامل وصاحب العمل
59,"س 81/ ما المقصود بإصابة العمل؟
  * س 82/ هل هناك شروط يجب توافرها في إصابة العمل؟",ج/ إصابة العمل: يعني الضرر الذي يصيب أو يلحق بجسم العامل من جراء تأثير خارجي، وشروط الإصابة هي: أن يلحق الضرر بجسم العامل (أي ضرراً مادياً) (مثل كسر ساق العامل أو الجروح أو ضرر غير محسوس كالجنون وفقد الذاكرة وأن تقع الحادثة (الإصابة) بشكل مفاجئ أي دفعة واحدة) وليس له علاقة التي تصيب أموال العامل أو تصيبه معنوياً.,التعويض عن إصابات العمل وأمراض المهنة
60,"س 83/ ماذا يقصد بالمرض المهني؟
  * س 84/ ما أسبابه؟
  * س 85/ ما واجبات صاحب العمل لوقاية العامل من ذلك؟","ج/ عرّف الفقه المرض المهني بأنه الضرر الذي يلحق الجسم نتيجة تأثير خارجي بطيء أو تدريجي مستمر على جسم الإنسان أو جزء منه.
  * أما أسبابه: فعدم توفير بيئة عمل صالحة وآمنة من مخاطر الصناعات المختلفة والملوثات في أماكن العمل... مثال ذلك (السل) الذي يغزو رئة العامل ببطء وبالتدريج نتيجة سوء التهوية ورطوبة المكان أو التسمم البطيء الذي يحدث نتيجة ملامسة المواد السامة، وهو نتيجة ممارسة مهنة معينة أو التعرض لظروف عمل غير صحيحة لفترة طويلة.
  * ويجب على صاحب العمل أن يبين للعامل قبل مزاولة العمل المخاطر التي قد يتعرض لها ووسائل الوقاية التي يجب عليه اتخاذها ووضع التعليمات والعلامات التحذيرية في أماكن ظاهرة بمكان العمل وأدوات السلامة الشخصية التي يلتزم صاحب العمل بتوفيرها.",التعويض عن إصابات العمل وأمراض المهنة
61,س 86/ متى يسقط حق العامل في التعويض عن إصابة العمل؟,"ج/ يسقط حق العامل في التعويض عن الإصابة إذا ثبت من التحقيق الآتي:
  * أن العامل قد أحدث الإصابة بنفسه.
  * إذا حدثت الإصابة بسبب سلوك فاحش ومقصود من العامل مثلاً (حدثت الإصابة بسبب تأثير الخمر أو المخدرات أو مخالفة التعليمات الخاصة بالوقاية من أخطار المهنة وأضرار المهنة المعلقة في مكان ظاهر وبارز من أماكن العمل.
  * أما إذا كانت الإصابة نشأت عنها أو تخلف عنها عجز مستديم تزيد نسبته على (25%) من العجز الكلي أو أدت إلى وفاة العامل ففي هذه الحالة يكون صاحب العمل مسئولاً عن تعويضه.",التعويض عن إصابات العمل وأمراض المهنة
62,س 87/ ما أنواع المرض المهني وأسبابه؟,"* المرض: التسمم بالرصاص ومركباته.
  المسبب له: أي عمل يقتضي استعمال أو القيام بعمل يعمل بالرصاص ومركباته التي تحتوي على رصاص.
  * المرض: التسمم بالزئبق ومركباته.
  المسبب له: أي عمل يقتضي استعمال أو القيام بعمل يعمل بالزئبق أو مركباته أو المواد التي تحتوي على زئبق، وكذلك أي عمل يقتضي التعرض إلى غبار أو غازات الزئبق أو مركباته أو المواد التي تحتوي على زئبق.
  * المرض: التسمم بالزرنيخ ومركباته.
  المسبب له: أي عمل يقتضي استعمال أو القيام بعمل يعمل بالزرنيخ أو مركباته، أو أي عمل يقتضي التعرض إلى غبار أو غازات الزرنيخ أو مركباته أو المواد التي تحتوي على الزرنيخ.
  * المرض: التسمم بالأنتيموني ومحتوياته.
  المسبب له: أي عمل يقتضي استعمال أو القيام بعمل يعمل بالأنتيموني أو مركباته أو المواد التي تحتوي على الأنتيموني، وكذلك أي عمل يقتضي التعرض إلى غبار أو غازات الأنتيموني أو مركباته.
  * المرض: التسمم بالفسفور ومركباته.
  المسبب له: أي عمل يقتضي استعمال أو القيام بعمل يعمل بالفسفور أو مركباته أو المواد التي تحتوي على الفسفور، وكذلك أي عمل يقتضي التعرض إلى غبار أو غازات الفسفور أو مركباته.
  * المرض: التسمم بالبترول ومنتجاته المترادفة.
  المسبب له: أي عمل يقتضي استعمال أو القيام بعمل يعمل بهذه المنتجات، وكذلك أي عمل يقتضي التعرض إلى غبار مركباته أو غازاتها أو مشتقاته.
  * المرض: التسمم بالمنجنيز ومركباته.
  المسبب له: أي عمل يقتضي استعمال أو القيام بعمل يعمل بالمنجنيز أو مركباته أو المواد التي تحتوي على المنجنيز، وكذلك أي عمل يقتضي التعرض إلى غبار أو غبار المنجنيز أو مركباته أو منتجات تحتوي على المنجنيز.
  * المرض: انتراكس (الجمرة الخبيثة).
  المسبب له: جميع الأعمال التي تقتضي الاحتكاك بالحيوانات المصابة بهذا المرض أو جلودها والمصابة بأمراض النفخة وبقرونها وشعرها.
  * المرض: مرض الاستسقاء الزقي.
  المسبب له: جميع الأعمال التي تقتضي الاحتكاك بالحيوانات المصابة بهذا المرض.
  * المرض: مرض الدرن الرئوي.
  المسبب له: الأعمال في المستشفيات لتقديم العلاج للمرضى بهذا المرض.
  * المرض: أمراض الحمى المعوية.
  المسبب له: الأعمال في المستشفيات المخصصة لمعالجة هذه الحمى.",التعويض عن إصابات العمل وأمراض المهنة
63,س 88/ ماذا يقصد بنظام السلامة المهنية؟,"ج/ السلامة المهنية: تعني مجموعة الإجراءات التي تؤدي إلى توفير الحماية المهنية للعاملين، والحد من خطر المعدات والآلات على العمال والمنشأة، ومحاولة منع وقوع الحوادث أو التقليل من حدوثها وتوفير الجو المهني السليم الذي يساعد العمال على العمل بالمنشأة. أما نظام السلامة المهنية: هي اخذ وسائل الوقاية والحيطة من المخاطر التي ينبغي على العامل ادراكها والحذر من الوقوع في مسبباتها, وعلى صاحب العمل توفير صناديق الاسعافات الطبية مزودة بالأدوية والاربطة والمطهرات وغيرها ويخصص صندوق للعمال في مكان ظاهر في متناول يد العمال",التعويض عن إصابات العمل وأمراض المهنة
64,س 89/ هل يجوز لصاحب العمل تحميل العامل أي نفقات مقابل توفير وسائل الحماية له؟,ج/ لا يجوز لصاحب العمل تحميل العامل أي نفقات أو اقتطاع مبالغ من أجره مقابل توفير وسائل الحماية له بل يجب على صاحب العمل توفير وسائل السلامة بالمجان للعمال ودون مقابل.,التعويض عن إصابات العمل وأمراض المهنة
65,س 90/ هل ألزم قانون العمل صاحب العمل التأمين على عماله ضد إصابات العمل وأمراض المهنة؟,ج/ أوجب قانون العمل على صاحب العمل التأمين على عماله لدى شركات التأمين ضد إصابات العمل وأمراض المهنة.,التعويض عن إصابات العمل وأمراض المهنة
66,"س 91/ هل للعامل المصاب الحق في العلاج؟
  * س 92/ بأي مستشفيات يكون ذلك ومصاريف العلاج من يلتزم بها؟",ج/ للعامل المصاب الحق في العلاج بإحدى المستشفيات الحكومية أو دور العلاج الأهلية حسبما يراه صاحب العمل وللطبيب المعالج أن يحدد في تقريره الطبي فترة العلاج والعاهة المتخلفة عن الإصابة وقدرته على الاستمرار في العمل، ويلتزم صاحب العمل بمصاريف العلاج كاملة بما في ذلك الأدوية والنقل.,التعويض عن إصابات العمل وأمراض المهنة
67,"س 93/ ما الإجازات المرضية التي يستحقها العامل في حالة تعرضه لإصابة عمل أو مرض مهني؟
  * س 94/ هل يتقاضى أجره طوال فترة العلاج؟",ج/ يحق للعامل المصاب بإصابة عمل (حادث) أو مرض مهني الحق في تقاضي أجره طوال فترة العلاج التي يحددها الطبيب، وإذا زادت فترة العلاج على ستة أشهر يدفع له نصف الأجر فقط حتى شفائه أو تثبت عاهته أو يتوفى.,التعويض عن إصابات العمل وأمراض المهنة
68,س 95/ هل يحق لصاحب العمل إنهاء عقد العمل عند استنفاذ العامل لجميع إجازاته المرضية؟,ج/ يحق لصاحب العمل إنهاء عقد العمل عند استنفاد العامل لجميع الإجازات المرضية وقدرها (45 يوماً)، وبعدها يعتبر العامل غير لائق صحياً لمزاولة مهمته، ويحق للعامل الحصول على مكافأة نهاية خدمته وفقاً لقانون العمل.,التعويض عن إصابات العمل وأمراض المهنة
69,س 96/ هل يجب على العامل إبلاغ صاحب العمل عند إصابته في حادث بسبب العمل؟,ج/ يجب على العامل الإبلاغ عن الحادث الذي تعرض له إذا سمحت حالته بذلك، ويجوز لمن يمثله القيام بذلك. كما يجب على صاحب العمل إذا أصيب أحد عماله بحادث الإبلاغ فوراً عن وقوعه أو فور علمه بالحادث وإبلاغ كل من: (مخفر الشرطة، إدارة العمل المختصة، المؤسسة العامة للتأمينات، شركة التأمين).,التعويض عن إصابات العمل وأمراض المهنة
70,س 97/ هل يحق للعامل تقاضي أجره كاملاً في حالة إصابة العمل أو المرض المهني؟,"ج/ للعامل الحق في الإجازة المرضية في حالة إصابته بالعمل أو المرض المهني على النحو الآتي:
  * أول (15) يوماً يكون بأجر كامل.
  * وبعد ذلك يخفض الأجر 3/4 قيمة أجره اليومي عن كل يوم إجازة مرضية ولمدة 10 أيام.
  * أي يوم بعد ذلك يخفض أجر العامل إلى 1/2 قيمة أجره اليومي عن كل يوم إجازة مرضية ولمدة 10 أيام.
  * أي يوم بعد ذلك يخفض أجر العامل إلى 1/4 قيمة أجره اليومي عن كل يوم إجازة مرضية ولمدة 10 أيام.
  * وبعد استنفاذ الـ 45 يوماً المشار إليها أعلاه لا يحق للعامل بعد ذلك أي أجر عن أي يوم إجازة مرضية لمدة ثلاثين يوماً.",التعويض عن إصابات العمل وأمراض المهنة
71,س 98/ ما هي الشروط المتعلقة بالعلاج من إصابة العمل أو المرض المهني؟,ج/ أن يكون علاج العمل متعلقاً بإصابة العمل أو مرض المهنة وألا يكون باستطاعة العامل مباشرة العمل خلال تلك الفترة، ويستحق العامل أجره بالكامل خلال فترة الستة أشهر الأولى فإذا تجاوزت فترة العلاج تلك الفترة يتقاضى العامل نصف أجره حتى يتم شفاؤه أو تثبت عاهته أو يتوفى كما أن نفقات العلاج على صاحب العمل، وتشمل الأدوية وأجور الأطباء وكافة المصاريف بما فيها الانتقال إلى المستشفى والإقامة بغض النظر عن مكان وجود المستشفى سواء المستشفى حكومياً أم خاصاً ولو كان بالخارج.,التعويض عن إصابات العمل وأمراض المهنة
72,س 99/ ما حقوق العامل في الإجازات المرضية؟,"ج/ إن الإجازات المرضية للعامل لا تترصد وإنما تسقط بعدم استعمالها خلال السنة العمالية التي تبدأ من بداية العقد حتى انقضاء سنة كاملة.
 وأن الأجر الذي يتقاضاه العامل يحسب على أساس الإجازات المرضية هو الأجر الأساسي الشامل الذي استنفذت فيه تلك الإجازة وهو على رأس عمله.",التعويض عن إصابات العمل وأمراض المهنة
73,س 100/ ما ضوابط استحقاق التعويض عن إصابة العمل والمرض المهني؟,"ج/ يجب أن يثبت العامل علاقة العمل بينه وبين صاحب العمل وأن الإصابة وقعت أثناء وبسبب العمل أو في الطريق إليه ذهاباً أو إياباً، لا يكون العامل سبب حدوث الإصابة بتعمده أو بسلوكه الفاحش، وأن ينشأ عنها عجز لا يزيد عن %25 من العجز الكلي.
 أما إذا أصيب العامل بمرض من أمراض المهنة المحددة بقرارات الجهات المختصة فإذا ظهرت على العامل أعراض المرض المهني خلال سنة من تاريخ تركه العمل تنطبق عليه القواعد الخاصة بإصابات العمل. علماً بأنه يجب إثبات وقع الإصابة أو المرض المهني أثناء وبسبب العمل يقع على العامل، ويجوز إثباته بكافة طرق الإثبات.
 ويحق لصاحب العمل إثبات عكس ذلك أو إثبات سوء السلوك الفاحش للعامل في حالة كانت نسبة العجز أقل من %25.",التعويض عن إصابات العمل وأمراض المهنة
74,س 101/ كيف يتم تقدير الضرر والتعويض الذي يصيب العامل جراء إنهاء عقده قبل نهاية مدته؟,ج/ تقدير الضرر والتعويض الذي يصيب العامل من جراء إنهاء عقده قبل نهاية مدته من سلطة المحكمة (الموضوع) بغير معقب عليها من محكمة التمييز ما دامت التزمت في تقديرها الاعتبارات والضوابط التي أشارت إليها نصوص قانون العمل.,التعويض عن إصابات العمل وأمراض المهنة
75,س 102/ على من يقع عبء إثبات إصابة العامل أثناء العمل وبسببه؟,ج/ مجرد حصول إصابة العامل وبسببه يجعل للعامل الحق في طلب التعويض عن تلك الإصابة من صاحب العمل وللعامل أن يثبت حصول إصابته أثناء العمل وبسببه بكافة طرق الإثبات بما فيها البينة والقرائن ويجوز لصاحب العمل أيضاً أن يثبت بكافة طرق الإثبات أن العامل قد أحدث الإصابة بنفسه أو أنها حدثت نتيجة سوء سلوك فاحش منه ومقصود.,التعويض عن إصابات العمل وأمراض المهنة
76,س 103/ متى تتقادم دعوى التعويض ضد العامل عن إخلاله بالتزامه بعدم المنافسة؟,ج/ يجوز للعامل أن يتمسك بالتقادم في مواجهة صاحب العمل الذي يطالب بالتعويض عن إخلاله بالتزامه بعدم المنافسة إذا انقضى ثلاث سنوات من تاريخ علمه بالعمل غير المشروع ومرتكبه.,التعويض عن إصابات العمل وأمراض المهنة
77,س 104/ هل يحق لصاحب العمل مطالبة العامل بعد ثلاث سنوات برد ما دفع له بدون وجه حق من رواتب وأجور؟,ج/ لا يجوز لصاحب العمل مطالبة العامل برد ما دفع له بدون وجه حق من رواتب وأجور استلمها لأكثر من ثلاث سنوات من تركه الخدمة، ويحق للعامل أن يدفع بالتقادم لمرور أكثر من ثلاث سنوات.,التعويض عن إصابات العمل وأمراض المهنة
78,"س 105/ ما الإجازات الرسمية المقررة للعامل؟
 س 106/ هل يتقاضى عنها أجراً كاملاً؟
 س 107/ عدد أيامها؟","ج/ الإجازات الرسمية المقررة للعامل بأجر كامل هي:
  * أ- يوم رأس السنة الهجرية (يوم واحد)
  * ب- يوم الإسراء والمعراج (يوم واحد)
  * ج- عيد الفطر المبارك (ثلاثة أيام)
  * د- وقفة عيد الأضحى المبارك (يوم واحد)
  * هـ- عيد الأضحى المبارك (ثلاثة أيام)
  * و- يوم المولد النبوي الشريف (يوم واحد)
  * ز- اليوم الوطني 25 فبراير (يوم واحد)
  * ح- يوم التحرير 26 فبراير (يوم واحد)
  * ط- يوم رأس السنة الميلادية (يوم واحد)
 وإذا استدعت ظروف العمل تشغيل العامل في أحد هذه الأيام قرر له أجر مضاعف مع تعويضه بيوم بديل.
 كما أن الإجازات الرسمية مستقلة عن غيرها من الإجازات التي تستحق للعامل بأجر كامل، ومن ثم فلا تحتسب الإجازات الرسمية من الإجازات الرسمية أو المرضية وألزم القانون صاحب العمل بأن يدفع للعامل (أجراً مضاعفاً) عن عمله بأيام العطل الرسمية دون تفرقة بين عامل يومية أو مشاهرة لأن الراحة الأسبوعية أصبحت مدفوعة الأجر بنص قانون العمل الجديد لكافة العمال الخاضعين لأحكامه",الإجازات السنوية والمرضية
79,"س 108/ متى يستحق العامل إجازة سنوية وما مدتها؟
 س 109/ هل مدفوعة الأجر؟","ج/ يستحق العامل إجازة سنوية مدفوعة الأجر مدتها ثلاثون يوماً ولا يستحق العامل إجازة عن السنة الأولى إلا بعد قضاء تسعة أشهر على الأقل في العمل كما يستحق إجازة من كسور السنة نسبة ما قضاه منها في العمل ولو كانت في السنة الأولى من الخدمة.
 ويجب على صاحب العمل دفع مقابل الإجازة السنوية للعامل قبل القيام بها.",الإجازات السنوية والمرضية
80,"س 110/ من له الحق في تحديد موعد إجازة العامل؟
 س 111/ هل أيام الجُمع والإجازات الرسمية تخصم من مدة الإجازة؟",ج/ لصاحب العمل الحق في تحديد موعد الإجازة الرسمية كما يجوز له تجزئتها برضاء العامل بعد الأربعة عشر يوماً الأولى، فإذا تخللت فترة الإجازة أيام جمع أو إجازات رسمية فإنها تخصم من مدة الإجازة,الإجازات السنوية والمرضية
81,س 112/ هل يحق لصاحب العمل إرغام العامل للتنازل عن حقه في الإجازة السنوية؟,ج/ لا يحق لصاحب العمل إرغام العامل عن التنازل عن إجازته السنوية في هذا الأمر يتعلق بالنظام العام فلا يجوز التنازل عنه صراحة وضمنياً فإذا أخل صاحب العمل بهذا الالتزام فقد حق عليه تعويض العامل بما لم يحصل عليه من إجازات سنوية على مدار عمله مالم يسقط حقه فيه بالتقادم، ويقع على صاحب العمل عبء إثبات حصول العامل على إجازته أو تقاضي ما يقابلها نقداً وفي حالة عدم استعماله لها (الإجازات السنوية) بمناسبة انتهاء عمله بوفاته.,الإجازات السنوية والمرضية
82,س 113/ كيف يحسب المقابل النقدي لإجازة العامل؟,ج/ يحسب المقابل النقدي لإجازة العامل على الأجر الأساسي الثابت في عقد العمل أو الذي يتقاضاه العامل دون احتساب أي ميزة عينية أو غيرهما مما يحصل عليه العامل,الإجازات السنوية والمرضية
83,"س 114/ هل يسقط حق العامل بعدم حصوله على الإجازة السنوية؟
 س 115/ هل تترصد الإجازات السنوية وكيف يتم ذلك؟",ج/ إن حق العامل في الإجازة لا يسقط بعدم الحصول عليها وإنما تترصد الإجازة السنوية بحيث لا تزيد على إجازة سنتين، وله بعد موافقة صاحب العمل القيام بها دفعة واحدة، ويجوز موافقة الطرفين تجميع الإجازة السنوية لأكثر من سنتين. وللعامل الحق في الحصول على مقابل نقدي لأيام إجازاته السنوية المجتمعة في حالة انتهاء عقده.,الإجازات السنوية والمرضية
84,"س 116/ هل يحق للعامل التنازل عن إجازته السنوية؟
 س 117/ هل يحق له العمل لدى الغير أثناء الإجازة السنوية؟",ج/ لا يجوز للعامل أن يتنازل عن إجازته السنوية بعوض أو بغير عوض أو حرمانه منها كلياً أو جزئياً أثناء سريان عقد العمل أو أن يعمل لدى صاحب عمل آخر أثناء إجازته وإلا وجب عليه رد ما أخذه من أجر.,الإجازات السنوية والمرضية
85,"س 118/ هل يستطيع صاحب العمل منع العامل من الحصول على إجازة سنوية؟
 س 119/ هل يحق للعامل تعويضه عن ذلك؟",ج/ الإجازة السنوية حق مقرر للعامل طالما يعمل لدى صاحب العمل وأهمية هذه الإجازة وغايتها هي تمكين العامل للحصول على قسط من الوقت يبتعد فيها عن العمل فيخلد إلى الراحة من العناء والتعب ليجدد نشاطه ويسترد عافيته البدنية والذهنية وتواصله الاجتماعي مع أهله وذويه للعامل حق في إجازة سنوية مدفوعة الأجر، مدتها ثلاثون يوماً إلا بعد قضائه تسعة أشهر على الأقل عن السنة الأولى من خدمته ومن ثَم لا يستطيع صاحب العمل منع العامل من الحصول على الإجازة ولا يجوز للعامل التنازل عنها صراحة أو ضمناً لأن تلك الإجازة متعلقة بالنظام العام وصاحب العمل يلتزم بمنح العامل إجازته السنوية حتى ولو لم يطلبها..فإذا أخل صاحب العمل أو رفض فقد حق عليه تعويض العامل عما لم يحصل عليه في إجازته على مدار خدمته كلها كما أن الإجازة السنوية للعامل مستقلة عن غيرها من الإجازات.,الإجازات السنوية والمرضية
